x0,x1,x2,x3,x4,x5,x6,x7,x8,x9
2.498,16.465,4.13,0.543,16.131,10.196,33.83,32.394,23.143,38.52
1.829,10.485,2.429,0.278,12.701,7.951,21.338,24.641,18.002,24.223
2.212,13.427,3.003,0.425,14.815,9.239,27.324,28.964,20.49,31.266
2.742,19.027,5.129,0.845,17.21,11.812,38.781,34.978,26.308,45.472
0.73,5,0.967,0.005,5.196,3.759,10.991,10.114,8.878,11.963
1.159,6.444,0.99,0.122,8.495,5.519,13.092,16.844,11.55,14.02
2.142,16.214,4.451,0.671,12.943,8.692,32.775,26.277,19.653,38.185
2.921,19.45,5.215,0.826,18.847,12.219,38.997,37.949,27.94,45.545
0.526,4.61,1.374,0.137,2.932,2.331,9.915,6.64,6.153,11.861
1.891,13.516,3.564,0.575,12.453,7.841,27.61,24.83,18.163,32.605
3.188,21.551,5.771,0.891,20.332,12.871,43.377,40.571,29.432,50.174
0.756,7.332,2.131,0.209,4.79,3.315,15.354,10.435,8.201,17.379
1.076,6.147,1.309,0.185,7.876,5.032,12.298,15.985,11.61,13.888
0.711,4.584,0.786,0.108,5.451,3.474,9.77,10.945,7.455,11.254
0.811,6.724,1.83,0.22,5.548,3.334,13.813,11.285,8.012,15.421
3.431,23.808,6.544,0.979,21.304,13.805,47.952,42.775,31.226,55.458
2.93,20.586,5.564,0.812,18.643,11.99,41.76,37.691,27.566,48.108
1.405,7.895,1.701,0.172,10.196,6.521,16.685,20.346,14.189,18.181
3.092,20.619,5.562,0.816,19.597,13.355,42.161,39.222,30.192,48.564
1.179,9.168,2.438,0.274,7.201,5.001,18.857,15.219,12.096,20.949
2,12.42,2.934,0.432,14.019,8.26,25.714,27.807,18.475,29.26
3.515,23.709,6.464,0.94,22.353,14.174,47.485,44.617,32.248,55.003
2.819,19.987,5.6,0.818,17.885,11.844,40.529,35.36,27.007,46.863
1.803,10.758,2.188,0.336,12.862,7.863,21.81,24.934,17.331,24.385
0.963,5.304,1.075,0.175,6.779,4.393,11.165,13.439,9.458,12.54
1.124,8.899,2.703,0.373,7.225,4.641,18.378,14.648,11.492,21.774
0.218,1.665,0.232,0.006,2.178,1.213,4.068,4.26,2.618,4.427
1.029,7.396,1.964,0.252,6.367,5.069,14.845,13.264,11.595,16.981
3.215,21.782,5.752,0.796,20.405,13.144,44.5,40.498,29.586,50.136
0.569,3.369,0.492,0.015,4.368,2.656,7.203,8.259,6.551,7.594
2.246,16.093,4.302,0.599,14.162,9.425,32.678,28.426,21.444,37.843
2.541,16.479,4.179,0.604,16.486,10.611,32.986,33.231,24.252,37.896
0.649,4.765,1.295,0.105,4.391,3.074,9.805,9.461,7.545,11.099
1.215,9.603,2.719,0.382,7.157,5.718,19.516,14.597,13.016,22.47
0.36,2.723,0.818,0.036,2.13,2.104,5.613,4.389,5.578,6.703
3.272,22.799,6.119,0.89,20.337,13.885,46.247,40.952,31.216,52.51
3.577,23.555,6.231,0.981,23.062,15.142,47.255,46.199,33.883,54.661
0.804,3.522,0.413,0.06,6.195,3.989,7.177,12.661,8.198,7.865
3.133,22.092,6.054,0.891,19.021,12.79,45.167,38.742,29.224,52.168
2.099,15.064,3.996,0.577,12.796,8.554,30.838,26.46,19.381,35.863
3.224,20.038,4.834,0.742,21.36,13.16,40.384,41.92,29.326,46.216
2.011,14.852,4.233,0.63,12.693,8.982,30.61,25.859,20.572,35.775
2.364,14.76,3.533,0.582,15.609,10.374,30.114,30.653,23.026,35.075
1.055,4.684,0.681,0.02,8.473,5.107,10.087,16.425,10.745,10.961
1.491,7.828,1.436,0.21,10.959,5.994,16.345,21.124,13.02,18.399
2.375,14.782,3.66,0.545,15.598,10.218,30.048,30.72,22.779,34.219
2.834,18.999,5.087,0.769,17.921,11.481,38.488,36.231,26.05,44.679
1.745,9.821,1.996,0.251,12.791,7.017,19.788,24.921,15.831,21.73
1.322,8.812,2.405,0.286,8.747,5.91,18.366,17.866,13.147,20.877
3.096,21.902,6.053,0.852,18.941,13.075,44.469,37.719,29.928,51.202
